,state,county,year,urate,medhous
104,Kansas,Reno,2001,4.525,35980.0
105,Kansas,Saline,2001,3.7416666666666663,38436.0
106,Kansas,Crawford,2001,5.1,29840.0
107,Kansas,Finney,2001,7.125,38240.0
108,Oregon,Multnomah,2001,6.2333333333333325,42422.0
109,Oregon,Washington,2001,5.408333333333333,54444.0
110,Oregon,Clackamas,2001,5.225,52640.0
111,Oregon,Lane,2001,6.775,36776.0
112,Oregon,Marion,2001,6.383333333333333,39561.0
113,Oregon,Jackson,2001,6.533333333333333,35688.0
114,Oregon,Deschutes,2001,6.416666666666666,41940.0
115,Oregon,Linn,2001,7.625,37072.0
116,Oregon,Douglas,2001,8.35,33105.0
117,Oregon,Yamhill,2001,6.1,43532.0
118,Oregon,Benton,2001,4.433333333333333,43830.0
119,Oregon,Josephine,2001,8.316666666666666,30237.0
120,South Carolina,Greenville,2001,3.8333333333333326,41996.0
121,South Carolina,Richland,2001,4.225,40034.0
122,South Carolina,Charleston,2001,4.216666666666667,38610.0
123,South Carolina,Horry,2001,5.033333333333333,34923.0
124,South Carolina,Spartanburg,2001,5.466666666666667,37229.0
125,South Carolina,Lexington,2001,3.6,45147.0
126,South Carolina,York,2001,4.891666666666667,44019.0
127,South Carolina,Berkeley,2001,4.466666666666667,39475.0
128,South Carolina,Anderson,2001,5.441666666666666,37281.0
129,South Carolina,Beaufort,2001,3.9333333333333327,45469.0
130,South Carolina,Aiken,2001,5.058333333333333,38086.0
131,South Carolina,Dorchester,2001,4.175,42082.0
132,Washington,King,2001,4.575,53982.0
133,Washington,Pierce,2001,6.525,45337.0
134,Washington,Snohomish,2001,4.775,51841.0
135,Washington,Spokane,2001,6.583333333333333,37348.0
136,Washington,Clark,2001,6.808333333333333,48299.0
137,Washington,Thurston,2001,5.766666666666667,47812.0
138,Washington,Kitsap,2001,6.016666666666667,47992.0
139,Washington,Yakima,2001,9.591666666666665,33633.0
140,Washington,Whatcom,2001,6.516666666666667,40185.0
141,Washington,Benton,2001,5.766666666666667,48034.0
142,Washington,Skagit,2001,7.175,42185.0
143,Washington,Cowlitz,2001,9.433333333333332,39061.0
144,Colorado,Denver,2002,6.741666666666666,40082.0
145,Colorado,El Paso,2002,6.141666666666667,48626.0
146,Colorado,Arapahoe,2002,5.8,55188.0
147,Colorado,Jefferson,2002,5.425,59903.0
148,Colorado,Adams,2002,6.258333333333333,46876.0
149,Colorado,Larimer,2002,4.716666666666667,49638.0
150,Colorado,Douglas,2002,8.775,93927.0
151,Colorado,Boulder,2002,5.758333333333333,55810.0
152,Colorado,Weid,2002,5.241666666666666,43476.0
153,Colorado,Pueblo,2002,7.125,33269.0
154,Colorado,Mesa,2002,4.958333333333333,37053.0
155,Colorado,Broomfield,2002,5.791666666666666,65155.0
156,Idaho,Ada,2002,4.791666666666666,47947.0
157,Idaho,Canyon,2002,6.3,36763.0
158,Idaho,Kootenai,2002,7.291666666666665,43636.0
159,Idaho,Bonneville,2002,3.8,37419.0
160,Idaho,Bannock,2002,5.975,35158.0
161,Idaho,Twin Falls,2002,4.4,37716.0
162,Idaho,Bingham,2002,4.683333333333333,33367.0
163,Idaho,Bonner,2002,8.183333333333334,36742.0
164,Idaho,Nez Perce,2002,5.3583333333333325,34518.0
165,Idaho,Latah,2002,4.725,32136.0
166,Idaho,Madison,2002,3.1333333333333333,40119.0
167,Idaho,Jefferson,2002,4.1,35789.0
168,Kansas,Johnson,2002,4.766666666666667,66974.0
169,Kansas,Sedgwick,2002,9.408333333333331,43663.0
170,Kansas,Shawnee,2002,5.9,41624.0
171,Kansas,Wyandotte,2002,4.591666666666667,32465.0
172,Kansas,Douglas,2002,3.825,38936.0
173,Kansas,Leavenworth,2002,5.891666666666667,50083.0
174,Kansas,Riley,2002,3.475,33452.0
175,Kansas,Butler,2002,5.7,47877.0
176,Kansas,Reno,2002,4.666666666666666,35683.0
177,Kansas,Saline,2002,4.066666666666666,38358.0
178,Kansas,Crawford,2002,5.2,29865.0
179,Kansas,Finney,2002,3.8166666666666664,37149.0
180,Oregon,Multnomah,2002,7.975,41553.0
181,Oregon,Washington,2002,6.833333333333333,53891.0
182,Oregon,Clackamas,2002,6.85,52550.0
183,Oregon,Lane,2002,7.058333333333333,36459.0
184,Oregon,Marion,2002,7.216666666666666,39600.0
185,Oregon,Jackson,2002,7.4,35788.0
186,Oregon,Deschutes,2002,7.683333333333333,42860.0
187,Oregon,Linn,2002,8.941666666666666,37684.0
188,Oregon,Douglas,2002,8.775,33732.0
189,Oregon,Yamhill,2002,7.3,43449.0
190,Oregon,Benton,2002,5.25,43613.0
191,Oregon,Josephine,2002,8.708333333333332,30538.0
192,South Carolina,Greenville,2002,5.258333333333333,41658.0
193,South Carolina,Richland,2002,5.133333333333333,39587.0
194,South Carolina,Charleston,2002,5.016666666666667,38458.0
195,South Carolina,Horry,2002,5.641666666666667,34654.0
196,South Carolina,Spartanburg,2002,7.275,37092.0
197,South Carolina,Lexington,2002,4.3,45140.0
198,South Carolina,York,2002,7.025,44619.0
199,South Carolina,Berkeley,2002,4.833333333333333,40161.0
200,South Carolina,Anderson,2002,6.841666666666667,37205.0
201,South Carolina,Beaufort,2002,4.55,45822.0
202,South Carolina,Aiken,2002,5.45,38534.0
203,South Carolina,Dorchester,2002,4.683333333333333,42886.0
204,Washington,King,2002,5.716666666666667,53644.0
205,Washington,Pierce,2002,7.9,46791.0
206,Washington,Snohomish,2002,6.591666666666667,52083.0
207,Washington,Spokane,2002,7.541666666666665,38552.0
208,Washington,Clark,2002,9.033333333333331,49040.0
209,Washington,Thurston,2002,6.375,49510.0
210,Washington,Kitsap,2002,6.633333333333333,49870.0
211,Washington,Yakima,2002,9.60833333333333,34022.0
212,Washington,Whatcom,2002,6.808333333333333,40533.0
213,Washington,Benton,2002,6.158333333333333,50288.0
214,Washington,Skagit,2002,8.141666666666666,43144.0
215,Washington,Cowlitz,2002,10.508333333333333,39410.0
216,Colorado,Denver,2003,7.216666666666666,41036.0
217,Colorado,El Paso,2003,6.25,49292.0
218,Colorado,Arapahoe,2003,6.2,55907.0
219,Colorado,Jefferson,2003,5.875,58851.0
220,Colorado,Adams,2003,7.141666666666667,48633.0
221,Colorado,Larimer,2003,5.083333333333333,50275.0
222,Colorado,Douglas,2003,9.70833333333333,93013.0
223,Colorado,Boulder,2003,5.741666666666666,57112.0
224,Colorado,Weid,2003,5.9,44756.0
225,Colorado,Pueblo,2003,7.475,35130.0
226,Colorado,Mesa,2003,5.566666666666666,38129.0
227,Colorado,Broomfield,2003,6.366666666666666,64005.0
228,Idaho,Ada,2003,4.816666666666666,49512.0
229,Idaho,Canyon,2003,6.4,37701.0
230,Idaho,Kootenai,2003,6.7333333333333325,45263.0
231,Idaho,Bonneville,2003,3.7,38462.0
232,Idaho,Bannock,2003,5.25,36415.0
233,Idaho,Twin Falls,2003,4.4833333333333325,37992.0
234,Idaho,Bingham,2003,4.666666666666666,34362.0
235,Idaho,Bonner,2003,7.7333333333333325,37151.0
236,Idaho,Nez Perce,2003,5.4,35639.0
237,Idaho,Latah,2003,4.658333333333333,32448.0
238,Idaho,Madison,2003,3.05,41522.0
239,Idaho,Jefferson,2003,3.9,36748.0
240,Kansas,Johnson,2003,5.15,66783.0
241,Kansas,Sedgwick,2003,10.9,43940.0
242,Kansas,Shawnee,2003,6.8,42543.0
243,Kansas,Wyandotte,2003,5.25,32995.0
244,Kansas,Douglas,2003,3.9166666666666665,39000.0
245,Kansas,Leavenworth,2003,6.191666666666666,50755.0
246,Kansas,Riley,2003,3.541666666666667,33399.0
247,Kansas,Butler,2003,6.2,48208.0
248,Kansas,Reno,2003,5.2,35978.0
249,Kansas,Saline,2003,4.6,38325.0
250,Kansas,Crawford,2003,5.6,30858.0
251,Kansas,Finney,2003,3.733333333333333,37262.0
252,Oregon,Multnomah,2003,8.333333333333332,41781.0
253,Oregon,Washington,2003,7.266666666666666,54184.0
254,Oregon,Clackamas,2003,7.408333333333333,52367.0
255,Oregon,Lane,2003,7.9,36685.0
256,Oregon,Marion,2003,7.866666666666665,39470.0
257,Oregon,Jackson,2003,7.6083333333333325,36737.0
258,Oregon,Deschutes,2003,7.683333333333333,44154.0
259,Oregon,Linn,2003,9.941666666666666,38449.0
260,Oregon,Douglas,2003,9.70833333333333,34500.0
261,Oregon,Yamhill,2003,8.0,43663.0
262,Oregon,Benton,2003,5.725,43674.0
263,Oregon,Josephine,2003,8.908333333333333,31578.0
264,South Carolina,Greenville,2003,5.9,42081.0
265,South Carolina,Richland,2003,6.058333333333333,39811.0
266,South Carolina,Charleston,2003,5.658333333333333,39319.0
267,South Carolina,Horry,2003,6.141666666666667,35630.0
268,South Carolina,Spartanburg,2003,7.725,38172.0
269,South Carolina,Lexington,2003,4.9,45803.0
270,South Carolina,York,2003,7.908333333333333,45698.0
271,South Carolina,Berkeley,2003,5.825,42058.0
272,South Carolina,Anderson,2003,7.641666666666666,38355.0
273,South Carolina,Beaufort,2003,5.116666666666666,46669.0
